"vehicle_type","motive_power","make","model","no_vehicles"
"Passenger vehicles","Petrol","AC","COBRA",29
"Passenger vehicles","Petrol","AC","UNKNOWN",18
"Passenger vehicles","Petrol","AJS","UNKNOWN",3
"Passenger vehicles","Petrol","ALBION","UNKNOWN",0
"Passenger vehicles","Petrol","ALFA ROMEO","105",29
"Passenger vehicles","Petrol","ALFA ROMEO","1300",16
"Passenger vehicles","Petrol","ALFA ROMEO","147",1470
"Passenger vehicles","Petrol","ALFA ROMEO","156",996
"Passenger vehicles","Petrol","ALFA ROMEO","159",1056
"Passenger vehicles","Petrol","ALFA ROMEO","1600",22
"Passenger vehicles","Petrol","ALFA ROMEO","164",47
"Passenger vehicles","Petrol","ALFA ROMEO","166",94
"Passenger vehicles","Petrol","ALFA ROMEO","1750",99
"Passenger vehicles","Petrol","ALFA ROMEO","2000",35
"Passenger vehicles","Petrol","ALFA ROMEO","33",44
"Passenger vehicles","Petrol","ALFA ROMEO","4C",292
"Passenger vehicles","Petrol","ALFA ROMEO","75",76
"Passenger vehicles","Petrol","ALFA ROMEO","ALFASUD",43
"Passenger vehicles","Petrol","ALFA ROMEO","ALFETTA",165
"Passenger vehicles","Petrol","ALFA ROMEO","BERLINA",18
"Passenger vehicles","Petrol","ALFA ROMEO","BRERA",397
"Passenger vehicles","Petrol","ALFA ROMEO","GIULIA",2655
"Passenger vehicles","Petrol","ALFA ROMEO","GIULIETTA",6531
"Passenger vehicles","Petrol","ALFA ROMEO","GT",27
"Passenger vehicles","Petrol","ALFA ROMEO","GTV",614
"Passenger vehicles","Petrol","ALFA ROMEO","MITO",1190
"Passenger vehicles","Petrol","ALFA ROMEO","MONTREAL",11
"Passenger vehicles","Petrol","ALFA ROMEO","SPIDER",727
"Passenger vehicles","Petrol","ALFA ROMEO","SPRINT",28
"Passenger vehicles","Petrol","ALFA ROMEO","STELVIO",1284
"Passenger vehicles","Petrol","ALFA ROMEO","UNKNOWN",597
"Passenger vehicles","Petrol","ALLARD","UNKNOWN",4
"Passenger vehicles","Petrol","ALPINE","A110",102
"Passenger vehicles","Petrol","ALPINE","UNKNOWN",3
"Passenger vehicles","Petrol","ALVIS","UNKNOWN",70
"Passenger vehicles","Petrol","AMAROO","UNKNOWN",8
"Passenger vehicles","Petrol","AMC","UNKNOWN",34
"Passenger vehicles","Petrol","AMILCAR","UNKNOWN",0
"Passenger vehicles","Petrol","ANSALDO","UNKNOWN",0
"Passenger vehicles","Petrol","ARIEL","UNKNOWN",3
"Passenger vehicles","Petrol","ARMSTRONG SIDDELEY","SAPPHIRE",36
"Passenger vehicles","Petrol","ARMSTRONG SIDDELEY","UNKNOWN",54
"Passenger vehicles","Petrol","ARROL-JOHNSON","UNKNOWN",3
"Passenger vehicles","Petrol","ARROW","UNKNOWN",3
"Passenger vehicles","Petrol","ASCARI","UNKNOWN",3
"Passenger vehicles","Petrol","ASIA MOTORS","COMBI",0
"Passenger vehicles","Petrol","ASIA MOTORS","ROCSTA",22
"Passenger vehicles","Petrol","ASIA MOTORS","UNKNOWN",4
"Passenger vehicles","Petrol","ASTON MARTIN","DB11",306
"Passenger vehicles","Petrol","ASTON MARTIN","DB12",32
"Passenger vehicles","Petrol","ASTON MARTIN","DB2/4",10
"Passenger vehicles","Petrol","ASTON MARTIN","DB4",10
"Passenger vehicles","Petrol","ASTON MARTIN","DB6",22
"Passenger vehicles","Petrol","ASTON MARTIN","DB7",143
"Passenger vehicles","Petrol","ASTON MARTIN","DB9",441
"Passenger vehicles","Petrol","ASTON MARTIN","DBS",158
"Passenger vehicles","Petrol","ASTON MARTIN","DBX",264
"Passenger vehicles","Petrol","ASTON MARTIN","RAPIDE",128
"Passenger vehicles","Petrol","ASTON MARTIN","UNKNOWN",90
"Passenger vehicles","Petrol","ASTON MARTIN","V8",19
"Passenger vehicles","Petrol","ASTON MARTIN","VANQUISH",180
"Passenger vehicles","Petrol","ASTON MARTIN","VANTAGE",1049
"Passenger vehicles","Petrol","ASTON MARTIN","VIRAGE",27
"Passenger vehicles","Petrol","AUBURN","UNKNOWN",16
"Passenger vehicles","Petrol","AUDI","100",17
"Passenger vehicles","Petrol","AUDI","80",123
"Passenger vehicles","Petrol","AUDI","90",13
"Passenger vehicles","Petrol","AUDI","A1",13942
"Passenger vehicles","Petrol","AUDI","A3",35580
"Passenger vehicles","Petrol","AUDI","A4",26350
"Passenger vehicles","Petrol","AUDI","A5",11027
"Passenger vehicles","Petrol","AUDI","A6",3421
"Passenger vehicles","Petrol","AUDI","A7",590
"Passenger vehicles","Petrol","AUDI","A8",306
"Passenger vehicles","Petrol","AUDI","ALLROAD",3
"Passenger vehicles","Petrol","AUDI","Q2",10487
"Passenger vehicles","Petrol","AUDI","Q3",36581
"Passenger vehicles","Petrol","AUDI","Q5",18041
"Passenger vehicles","Petrol","AUDI","Q7",1622
"Passenger vehicles","Petrol","AUDI","Q8",872
"Passenger vehicles","Petrol","AUDI","QUATTRO",24
"Passenger vehicles","Petrol","AUDI","R8",704
"Passenger vehicles","Petrol","AUDI","RS3",4084
"Passenger vehicles","Petrol","AUDI","RS4",1102
"Passenger vehicles","Petrol","AUDI","RS5",1137
"Passenger vehicles","Petrol","AUDI","RS6",781
"Passenger vehicles","Petrol","AUDI","RS7",220
"Passenger vehicles","Petrol","AUDI","RSQ3",2711
"Passenger vehicles","Petrol","AUDI","RSQ8",580
"Passenger vehicles","Petrol","AUDI","S1",45
"Passenger vehicles","Petrol","AUDI","S3",11014
"Passenger vehicles","Petrol","AUDI","S4",1442
"Passenger vehicles","Petrol","AUDI","S5",2502
"Passenger vehicles","Petrol","AUDI","S6",223
"Passenger vehicles","Petrol","AUDI","S7",150
"Passenger vehicles","Petrol","AUDI","S8",112
"Passenger vehicles","Petrol","AUDI","SQ2",972
"Passenger vehicles","Petrol","AUDI","SQ5",2500
"Passenger vehicles","Petrol","AUDI","SQ7",731
"Passenger vehicles","Petrol","AUDI","SQ8",304
"Passenger vehicles","Petrol","AUDI","TT",6830
"Passenger vehicles","Petrol","AUDI","TTS",12
"Passenger vehicles","Petrol","AUDI","UNKNOWN",90
"Passenger vehicles","Petrol","AUSTIN","""100-4""",32
"Passenger vehicles","Petrol","AUSTIN","""100-6""",14
"Passenger vehicles","Petrol","AUSTIN","10",25
"Passenger vehicles","Petrol","AUSTIN","100",11
"Passenger vehicles","Petrol","AUSTIN","1800",78
"Passenger vehicles","Petrol","AUSTIN","3000",111
"Passenger vehicles","Petrol","AUSTIN","7",166
"Passenger vehicles","Petrol","AUSTIN","8",18
"Passenger vehicles","Petrol","AUSTIN","A30",101
"Passenger vehicles","Petrol","AUSTIN","A40",93
"Passenger vehicles","Petrol","AUSTIN","CAMBRIDGE",39
"Passenger vehicles","Petrol","AUSTIN","CHAMP",15
"Passenger vehicles","Petrol","AUSTIN","FREEWAY",22
"Passenger vehicles","Petrol","AUSTIN","HAMPSHIRE",12
"Passenger vehicles","Petrol","AUSTIN","K2",0
"Passenger vehicles","Petrol","AUSTIN","LANCER",41
"Passenger vehicles","Petrol","AUSTIN","LONDON TAXI",5
"Passenger vehicles","Petrol","AUSTIN","MINI",55
"Passenger vehicles","Petrol","AUSTIN","PRINCESS",16
"Passenger vehicles","Petrol","AUSTIN","SHEERLINE",14
"Passenger vehicles","Petrol","AUSTIN","SPRITE",155
"Passenger vehicles","Petrol","AUSTIN","TOURER",35
"Passenger vehicles","Petrol","AUSTIN","UNKNOWN",1071
"Passenger vehicles","Petrol","AUSTIN","WESTMINSTER",37
"Passenger vehicles","Petrol","AUSTIN HEALEY","100",70
"Passenger vehicles","Petrol","AUSTIN HEALEY","3000",88
"Passenger vehicles","Petrol","AUSTIN HEALEY","SPRITE",232
"Passenger vehicles","Petrol","AUSTIN HEALEY","UNKNOWN",46
"Passenger vehicles","Petrol","AUTOZAM","UNKNOWN",3
"Passenger vehicles","Petrol","BALLOT","UNKNOWN",3
"Passenger vehicles","Petrol","BEDFORD","CF",11
"Passenger vehicles","Petrol","BEDFORD","CJ",0
"Passenger vehicles","Petrol","BEDFORD","FJ",3
"Passenger vehicles","Petrol","BEDFORD","J3",3
"Passenger vehicles","Petrol","BEDFORD","UNKNOWN",25
"Passenger vehicles","Petrol","BENTLEY","ARNAGE",120
"Passenger vehicles","Petrol","BENTLEY","AZURE",17
"Passenger vehicles","Petrol","BENTLEY","BENTAYGA",618
"Passenger vehicles","Petrol","BENTLEY","BROOKLANDS",25
"Passenger vehicles","Petrol","BENTLEY","CONTINENTAL",2050
"Passenger vehicles","Petrol","BENTLEY","EIGHT",17
"Passenger vehicles","Petrol","BENTLEY","FLYING SPUR",204
"Passenger vehicles","Petrol","BENTLEY","MARK 6",57
"Passenger vehicles","Petrol","BENTLEY","MULSANNE",86
"Passenger vehicles","Petrol","BENTLEY","R TYPE",32
"Passenger vehicles","Petrol","BENTLEY","S1",24
"Passenger vehicles","Petrol","BENTLEY","S2",20
"Passenger vehicles","Petrol","BENTLEY","S3",22
"Passenger vehicles","Petrol","BENTLEY","T SERIES",23
"Passenger vehicles","Petrol","BENTLEY","TURBO R",112
"Passenger vehicles","Petrol","BENTLEY","UNKNOWN",279
"Passenger vehicles","Petrol","BERTONE","UNKNOWN",8
"Passenger vehicles","Petrol","BIRKIN","UNKNOWN",9
"Passenger vehicles","Petrol","BMC","MINI",15
"Passenger vehicles","Petrol","BMC","MINI MOKE",9
"Passenger vehicles","Petrol","BMC","UNKNOWN",23
"Passenger vehicles","Petrol","BMW","116",2590
"Passenger vehicles","Petrol","BMW","118",12928
"Passenger vehicles","Petrol","BMW","120",6376
"Passenger vehicles","Petrol","BMW","125",6137
"Passenger vehicles","Petrol","BMW","128",1229
"Passenger vehicles","Petrol","BMW","130",492
"Passenger vehicles","Petrol","BMW","135",2054
"Passenger vehicles","Petrol","BMW","1600",10
"Passenger vehicles","Petrol","BMW","2002",134
"Passenger vehicles","Petrol","BMW","218",3921
"Passenger vehicles","Petrol","BMW","220",7129
"Passenger vehicles","Petrol","BMW","225",462
"Passenger vehicles","Petrol","BMW","228",946
"Passenger vehicles","Petrol","BMW","230",1427
"Passenger vehicles","Petrol","BMW","3 SERIES",26
"Passenger vehicles","Petrol","BMW","3.0 CS",20
"Passenger vehicles","Petrol","BMW","316",2173
"Passenger vehicles","Petrol","BMW","318",9896
"Passenger vehicles","Petrol","BMW","320",23528
"Passenger vehicles","Petrol","BMW","323",5405
"Passenger vehicles","Petrol","BMW","325",10295
"Passenger vehicles","Petrol","BMW","328",7603
"Passenger vehicles","Petrol","BMW","330",17206
"Passenger vehicles","Petrol","BMW","335",4336
"Passenger vehicles","Petrol","BMW","340",587
"Passenger vehicles","Petrol","BMW","420",4185
"Passenger vehicles","Petrol","BMW","428",2514
"Passenger vehicles","Petrol","BMW","430",3817
"Passenger vehicles","Petrol","BMW","435",1107
"Passenger vehicles","Petrol","BMW","440",683
"Passenger vehicles","Petrol","BMW","5 SERIES",13
"Passenger vehicles","Petrol","BMW","520",1481
"Passenger vehicles","Petrol","BMW","523",695
"Passenger vehicles","Petrol","BMW","525",2329
"Passenger vehicles","Petrol","BMW","528",2206
"Passenger vehicles","Petrol","BMW","530",4101
"Passenger vehicles","Petrol","BMW","535",1532
"Passenger vehicles","Petrol","BMW","540",918
"Passenger vehicles","Petrol","BMW","545",162
"Passenger vehicles","Petrol","BMW","550",205
"Passenger vehicles","Petrol","BMW","630",43
"Passenger vehicles","Petrol","BMW","633",27
"Passenger vehicles","Petrol","BMW","635",192
"Passenger vehicles","Petrol","BMW","640",781
"Passenger vehicles","Petrol","BMW","645",216
"Passenger vehicles","Petrol","BMW","650",647
"Passenger vehicles","Petrol","BMW","728",13
"Passenger vehicles","Petrol","BMW","730",112
"Passenger vehicles","Petrol","BMW","735",559
"Passenger vehicles","Petrol","BMW","740",1585
"Passenger vehicles","Petrol","BMW","745",213
"Passenger vehicles","Petrol","BMW","750",534
"Passenger vehicles","Petrol","BMW","760",61
"Passenger vehicles","Petrol","BMW","840",427
"Passenger vehicles","Petrol","BMW","850",68
"Passenger vehicles","Petrol","BMW","ALPINA",103
"Passenger vehicles","Petrol","BMW","ALPINA B3",12
"Passenger vehicles","Petrol","BMW","F800",0
"Passenger vehicles","Petrol","BMW","IX2",3
"Passenger vehicles","Petrol","BMW","M1",259
"Passenger vehicles","Petrol","BMW","M135",3472
"Passenger vehicles","Petrol","BMW","M140",2053
"Passenger vehicles","Petrol","BMW","M2",3894
"Passenger vehicles","Petrol","BMW","M235",2304
"Passenger vehicles","Petrol","BMW","M240",1638
"Passenger vehicles","Petrol","BMW","M3",7680
"Passenger vehicles","Petrol","BMW","M340",2182
"Passenger vehicles","Petrol","BMW","M4",2843
"Passenger vehicles","Petrol","BMW","M440",1198
"Passenger vehicles","Petrol","BMW","M5",1375
"Passenger vehicles","Petrol","BMW","M535",17
"Passenger vehicles","Petrol","BMW","M550",388
"Passenger vehicles","Petrol","BMW","M6",304
"Passenger vehicles","Petrol","BMW","M635",30
"Passenger vehicles","Petrol","BMW","M760",28
"Passenger vehicles","Petrol","BMW","M8",96
"Passenger vehicles","Petrol","BMW","M850",239
"Passenger vehicles","Petrol","BMW","MINI",480
"Passenger vehicles","Petrol","BMW","UNKNOWN",547
"Passenger vehicles","Petrol","BMW","X1",25289
"Passenger vehicles","Petrol","BMW","X2",4611
"Passenger vehicles","Petrol","BMW","X3",28678
"Passenger vehicles","Petrol","BMW","X4",8209
"Passenger vehicles","Petrol","BMW","X5",11817
"Passenger vehicles","Petrol","BMW","X6",2610
"Passenger vehicles","Petrol","BMW","X7",1327
"Passenger vehicles","Petrol","BMW","Z3",1832
"Passenger vehicles","Petrol","BMW","Z4",3488
"Passenger vehicles","Petrol","BOLWELL","MARK 7",12
"Passenger vehicles","Petrol","BOLWELL","NAGARI",17
"Passenger vehicles","Petrol","BOLWELL","UNKNOWN",58
"Passenger vehicles","Petrol","BOND","UNKNOWN",3
"Passenger vehicles","Petrol","BORGWARD","ISABELLA",11
"Passenger vehicles","Petrol","BORGWARD","UNKNOWN",4
"Passenger vehicles","Petrol","BRISTOL","400",16
"Passenger vehicles","Petrol","BRISTOL","UNKNOWN",51
"Passenger vehicles","Petrol","BROUGH","UNKNOWN",0
"Passenger vehicles","Petrol","BSA","UNKNOWN",8
"Passenger vehicles","Petrol","BUCKLE","UNKNOWN",5
"Passenger vehicles","Petrol","BUFORI","UNKNOWN",13
"Passenger vehicles","Petrol","BUGATTI","UNKNOWN",12
"Passenger vehicles","Petrol","BUICK","CENTURION",11
"Passenger vehicles","Petrol","BUICK","CENTURY",45
"Passenger vehicles","Petrol","BUICK","ELECTRA",61
"Passenger vehicles","Petrol","BUICK","LESABRE",28
"Passenger vehicles","Petrol","BUICK","RIVIERA",135
"Passenger vehicles","Petrol","BUICK","ROADMASTER",38
"Passenger vehicles","Petrol","BUICK","SERIES 40",23
"Passenger vehicles","Petrol","BUICK","SKYLARK",46
"Passenger vehicles","Petrol","BUICK","SPECIAL",131
"Passenger vehicles","Petrol","BUICK","STANDARD SIX",27
"Passenger vehicles","Petrol","BUICK","SUPER",49
"Passenger vehicles","Petrol","BUICK","UNKNOWN",529
"Passenger vehicles","Petrol","BUICK","WILDCAT",18
"Passenger vehicles","Petrol","BULLET","UNKNOWN",8
"Passenger vehicles","Petrol","BYD","E6",0
"Passenger vehicles","Petrol","CADILLAC","BROUGHAM",23
"Passenger vehicles","Petrol","CADILLAC","CALAIS",10
"Passenger vehicles","Petrol","CADILLAC","CTS",19
"Passenger vehicles","Petrol","CADILLAC","DEVILLE",584
"Passenger vehicles","Petrol","CADILLAC","ELDORADO",200
"Passenger vehicles","Petrol","CADILLAC","ESCALADE",62
"Passenger vehicles","Petrol","CADILLAC","FLEETWOOD",151
"Passenger vehicles","Petrol","CADILLAC","SERIES 62",89
"Passenger vehicles","Petrol","CADILLAC","SEVILLE",62
"Passenger vehicles","Petrol","CADILLAC","UNKNOWN",469
"Passenger vehicles","Petrol","CATERHAM","SEVEN",23
"Passenger vehicles","Petrol","CATERHAM","SUPER SEVEN",35
"Passenger vehicles","Petrol","CATERHAM","UNKNOWN",11
"Passenger vehicles","Petrol","CHAMONIX","UNKNOWN",3
"Passenger vehicles","Petrol","CHECKER MOTORS","UNKNOWN",0
"Passenger vehicles","Petrol","CHERY","J1",128
"Passenger vehicles","Petrol","CHERY","J11",709
"Passenger vehicles","Petrol","CHERY","J3",380
"Passenger vehicles","Petrol","CHERY","OMODA",4314
"Passenger vehicles","Petrol","CHERY","OMODA 5",7258
"Passenger vehicles","Petrol","CHERY","TIGGO",2317
"Passenger vehicles","Petrol","CHERY","TIGGO 4",1931
"Passenger vehicles","Petrol","CHERY","TIGGO 7",2096
"Passenger vehicles","Petrol","CHERY","TIGGO 8",1994
"Passenger vehicles","Petrol","CHERY","UNKNOWN",62
"Passenger vehicles","Petrol","CHESIL","UNKNOWN",3
"Passenger vehicles","Petrol","CHEVROLET","150",7
"Passenger vehicles","Petrol","CHEVROLET","210",406
"Passenger vehicles","Petrol","CHEVROLET","3100",3
"Passenger vehicles","Petrol","CHEVROLET","3500",3
"Passenger vehicles","Petrol","CHEVROLET","AA CAPITOL",37
"Passenger vehicles","Petrol","CHEVROLET","AB NATIONAL",49
"Passenger vehicles","Petrol","CHEVROLET","AC INTERNATIONAL",27
"Passenger vehicles","Petrol","CHEVROLET","APACHE",3
"Passenger vehicles","Petrol","CHEVROLET","AVALANCHE",3
"Passenger vehicles","Petrol","CHEVROLET","BA CONFEDERATE",14
"Passenger vehicles","Petrol","CHEVROLET","BEL AIR",1895
"Passenger vehicles","Petrol","CHEVROLET","BISCAYNE",89
"Passenger vehicles","Petrol","CHEVROLET","BLAZER",132
"Passenger vehicles","Petrol","CHEVROLET","C10",6
"Passenger vehicles","Petrol","CHEVROLET","C30",0
"Passenger vehicles","Petrol","CHEVROLET","CAMARO",4063
"Passenger vehicles","Petrol","CHEVROLET","CAPRICE",70
"Passenger vehicles","Petrol","CHEVROLET","CHEVELLE",312
"Passenger vehicles","Petrol","CHEVROLET","CORVAIR",19
"Passenger vehicles","Petrol","CHEVROLET","CORVETTE",4640
"Passenger vehicles","Petrol","CHEVROLET","DC STANDARD",7
"Passenger vehicles","Petrol","CHEVROLET","DELUXE",37
"Passenger vehicles","Petrol","CHEVROLET","EL CAMINO",0
"Passenger vehicles","Petrol","CHEVROLET","EXPRESS",3
"Passenger vehicles","Petrol","CHEVROLET","FLEETLINE",39
"Passenger vehicles","Petrol","CHEVROLET","FLEETMASTER",39
"Passenger vehicles","Petrol","CHEVROLET","G10",4
"Passenger vehicles","Petrol","CHEVROLET","G20",15
"Passenger vehicles","Petrol","CHEVROLET","IMPALA",1191
"Passenger vehicles","Petrol","CHEVROLET","KB20",0
"Passenger vehicles","Petrol","CHEVROLET","MALIBU",43
"Passenger vehicles","Petrol","CHEVROLET","MAPLE LEAF",0
"Passenger vehicles","Petrol","CHEVROLET","MASTER",103
"Passenger vehicles","Petrol","CHEVROLET","MONTE CARLO",25
"Passenger vehicles","Petrol","CHEVROLET","NOMAD",27
"Passenger vehicles","Petrol","CHEVROLET","NOVA",195
"Passenger vehicles","Petrol","CHEVROLET","RIDEMASTER",11
"Passenger vehicles","Petrol","CHEVROLET","ROADSTER",38
"Passenger vehicles","Petrol","CHEVROLET","SEDAN DELIVERY",7
"Passenger vehicles","Petrol","CHEVROLET","SIERRA",7
"Passenger vehicles","Petrol","CHEVROLET","SILVERADO",4
"Passenger vehicles","Petrol","CHEVROLET","SS",11
"Passenger vehicles","Petrol","CHEVROLET","SSR",0
"Passenger vehicles","Petrol","CHEVROLET","STANDARD",106
"Passenger vehicles","Petrol","CHEVROLET","STINGRAY",63
"Passenger vehicles","Petrol","CHEVROLET","STYLELINE",25
"Passenger vehicles","Petrol","CHEVROLET","STYLEMASTER",23
"Passenger vehicles","Petrol","CHEVROLET","SUBURBAN",97
"Passenger vehicles","Petrol","CHEVROLET","SUPERIOR",42
"Passenger vehicles","Petrol","CHEVROLET","TAHOE",27
"Passenger vehicles","Petrol","CHEVROLET","TOURER",70
"Passenger vehicles","Petrol","CHEVROLET","TUDOR",28
"Passenger vehicles","Petrol","CHEVROLET","UNKNOWN",3756
"Passenger vehicles","Petrol","CHRYSLER","300",9590
"Passenger vehicles","Petrol","CHRYSLER","CENTURA",133
"Passenger vehicles","Petrol","CHRYSLER","CHRYSLER",55
"Passenger vehicles","Petrol","CHRYSLER","CROSSFIRE",517
"Passenger vehicles","Petrol","CHRYSLER","DESOTO",9
"Passenger vehicles","Petrol","CHRYSLER","DODGE",17
"Passenger vehicles","Petrol","CHRYSLER","GALANT",123
"Passenger vehicles","Petrol","CHRYSLER","GRAND VOYAGER",52
"Passenger vehicles","Petrol","CHRYSLER","IMPERIAL",51
"Passenger vehicles","Petrol","CHRYSLER","LANCER",60
"Passenger vehicles","Petrol","CHRYSLER","LE BARON",11
"Passenger vehicles","Petrol","CHRYSLER","NEON",117
"Passenger vehicles","Petrol","CHRYSLER","NEW YORKER",32
"Passenger vehicles","Petrol","CHRYSLER","NEWPORT",29
"Passenger vehicles","Petrol","CHRYSLER","PLYMOUTH",39
"Passenger vehicles","Petrol","CHRYSLER","PT CRUISER",2770
"Passenger vehicles","Petrol","CHRYSLER","ROYAL",81
"Passenger vehicles","Petrol","CHRYSLER","SCORPION",18
"Passenger vehicles","Petrol","CHRYSLER","SEBRING",581
"Passenger vehicles","Petrol","CHRYSLER","SIGMA",86
"Passenger vehicles","Petrol","CHRYSLER","UNKNOWN",1928
"Passenger vehicles","Petrol","CHRYSLER","VALIANT",5085
"Passenger vehicles","Petrol","CHRYSLER","VALIANT CHARGER",752
"Passenger vehicles","Petrol","CHRYSLER","VOYAGER",1698
"Passenger vehicles","Petrol","CHRYSLER","WINDSOR",13
"Passenger vehicles","Petrol","CITROEN","2CV",256
"Passenger vehicles","Petrol","CITROEN","2CV6",17
"Passenger vehicles","Petrol","CITROEN","BERLINGO",48
"Passenger vehicles","Petrol","CITROEN","BX",35
"Passenger vehicles","Petrol","CITROEN","C2",175
"Passenger vehicles","Petrol","CITROEN","C3",2002
"Passenger vehicles","Petrol","CITROEN","C4",2837
"Passenger vehicles","Petrol","CITROEN","C5",882
"Passenger vehicles","Petrol","CITROEN","C6",8
"Passenger vehicles","Petrol","CITROEN","CX",30
"Passenger vehicles","Petrol","CITROEN","D SPECIAL",15
"Passenger vehicles","Petrol","CITROEN","DS",78
"Passenger vehicles","Petrol","CITROEN","DS21",20
"Passenger vehicles","Petrol","CITROEN","DS23",35
"Passenger vehicles","Petrol","CITROEN","DS3",784
"Passenger vehicles","Petrol","CITROEN","DS4",166
"Passenger vehicles","Petrol","CITROEN","DS5",71
"Passenger vehicles","Petrol","CITROEN","GS",11
"Passenger vehicles","Petrol","CITROEN","HY VAN",0
"Passenger vehicles","Petrol","CITROEN","LIGHT 15",39
"Passenger vehicles","Petrol","CITROEN","SM",15
"Passenger vehicles","Petrol","CITROEN","TRACTION AVANT",13
"Passenger vehicles","Petrol","CITROEN","UNKNOWN",344
"Passenger vehicles","Petrol","CITROEN","XANTIA",92
"Passenger vehicles","Petrol","CITROEN","XM",23
"Passenger vehicles","Petrol","CITROEN","XSARA",129
"Passenger vehicles","Petrol","CLUBMAN","UNKNOWN",5
"Passenger vehicles","Petrol","COBRA","UNKNOWN",54
"Passenger vehicles","Petrol","COLUMBIA","UNKNOWN",0
"Passenger vehicles","Petrol","COMMER","UNKNOWN",5
"Passenger vehicles","Petrol","CONDOR","UNKNOWN",3
"Passenger vehicles","Petrol","COOPER","UNKNOWN",0
"Passenger vehicles","Petrol","CORD","UNKNOWN",3
"Passenger vehicles","Petrol","CROSSLEY","UNKNOWN",7
"Passenger vehicles","Petrol","CUPRA","ATECA",804
"Passenger vehicles","Petrol","CUPRA","FORMENTOR",2701
"Passenger vehicles","Petrol","CUPRA","LEON",771
"Passenger vehicles","Petrol","CUSTOM MADE","COBRA",65
"Passenger vehicles","Petrol","CUSTOM MADE","UNKNOWN",865
"Passenger vehicles","Petrol","DAELIM","UNKNOWN",3
"Passenger vehicles","Petrol","DAEWOO","1.5I",27
"Passenger vehicles","Petrol","DAEWOO","CIELO",118
"Passenger vehicles","Petrol","DAEWOO","ESPERO",40
"Passenger vehicles","Petrol","DAEWOO","KALOS",925
"Passenger vehicles","Petrol","DAEWOO","LACETTI",232
"Passenger vehicles","Petrol","DAEWOO","LANOS",1214
"Passenger vehicles","Petrol","DAEWOO","LEGANZA",104
"Passenger vehicles","Petrol","DAEWOO","MATIZ",354
"Passenger vehicles","Petrol","DAEWOO","NUBIRA",515
"Passenger vehicles","Petrol","DAEWOO","TACUMA",57
"Passenger vehicles","Petrol","DAIHATSU","APPLAUSE",298
"Passenger vehicles","Petrol","DAIHATSU","ATRAI",10
"Passenger vehicles","Petrol","DAIHATSU","CHARADE",1932
"Passenger vehicles","Petrol","DAIHATSU","COPEN",244
"Passenger vehicles","Petrol","DAIHATSU","CUORE",575
"Passenger vehicles","Petrol","DAIHATSU","DELTA",0
"Passenger vehicles","Petrol","DAIHATSU","FEROZA",1065
"Passenger vehicles","Petrol","DAIHATSU","HANDIVAN",20
"Passenger vehicles","Petrol","DAIHATSU","HIJET",24
"Passenger vehicles","Petrol","DAIHATSU","MIRA",186
"Passenger vehicles","Petrol","DAIHATSU","MOVE",56
"Passenger vehicles","Petrol","DAIHATSU","PYZAR",207
"Passenger vehicles","Petrol","DAIHATSU","ROCKY",35
"Passenger vehicles","Petrol","DAIHATSU","SCAT",5
"Passenger vehicles","Petrol","DAIHATSU","SIRION",3033
"Passenger vehicles","Petrol","DAIHATSU","TAFT",21
"Passenger vehicles","Petrol","DAIHATSU","TERIOS",3576
"Passenger vehicles","Petrol","DAIHATSU","UNKNOWN",104
"Passenger vehicles","Petrol","DAIHATSU","YRV",170
"Passenger vehicles","Petrol","DAIMLER","2.5 LITRE",14
"Passenger vehicles","Petrol","DAIMLER","250",77
"Passenger vehicles","Petrol","DAIMLER","CONQUEST",14
"Passenger vehicles","Petrol","DAIMLER","DB18",10
"Passenger vehicles","Petrol","DAIMLER","DK",11
"Passenger vehicles","Petrol","DAIMLER","DOUBLE-SIX",40
"Passenger vehicles","Petrol","DAIMLER","DS420",21
"Passenger vehicles","Petrol","DAIMLER","SOVEREIGN",85
"Passenger vehicles","Petrol","DAIMLER","SP250",24
"Passenger vehicles","Petrol","DAIMLER","UNKNOWN",378
"Passenger vehicles","Petrol","DAIMLER","XJ40",12
"Passenger vehicles","Petrol","DARRACQ","UNKNOWN",6
"Passenger vehicles","Petrol","DART","UNKNOWN",3
"Passenger vehicles","Petrol","DATSUN","1000",37
"Passenger vehicles","Petrol","DATSUN","1200",228
"Passenger vehicles","Petrol","DATSUN","120Y",219
"Passenger vehicles","Petrol","DATSUN","1600",606
"Passenger vehicles","Petrol","DATSUN","180B",118
"Passenger vehicles","Petrol","DATSUN","2000",33
"Passenger vehicles","Petrol","DATSUN","200B",115
"Passenger vehicles","Petrol","DATSUN","240",12
"Passenger vehicles","Petrol","DATSUN","240C",10
"Passenger vehicles","Petrol","DATSUN","240K",28
"Passenger vehicles","Petrol","DATSUN","240Z",234
"Passenger vehicles","Petrol","DATSUN","260",10
"Passenger vehicles","Petrol","DATSUN","260C",25
"Passenger vehicles","Petrol","DATSUN","260Z",352
"Passenger vehicles","Petrol","DATSUN","280Z",24
"Passenger vehicles","Petrol","DATSUN","280ZX",104
"Passenger vehicles","Petrol","DATSUN","620",3
"Passenger vehicles","Petrol","DATSUN","720",8
"Passenger vehicles","Petrol","DATSUN","B120",0
"Passenger vehicles","Petrol","DATSUN","BLUEBIRD",74
"Passenger vehicles","Petrol","DATSUN","FAIRLADY",79
